Day  Month  Year           SSH               SST 
                           (m)               (C)

 25    1    2012     0.886867884547     18.7008575723
 26    1    2012     0.87893307209      18.6891384646
 27    1    2012     0.870998259634     18.7111117914
 28    1    2012     0.853297524154     18.684011355
 29    1    2012     0.836512343958     18.5397198424
 30    1    2012     0.843531601131     18.3661305606
 31    1    2012     0.874050110579     18.3324381262
 1     2    2012     0.910367136821     18.457686089
 2     2    2012     0.929593797773     18.599780269
 3     2    2012     0.948210088536     18.6591082513
 4     2    2012     0.969878230244     18.6407971457
 5     2    2012     0.997650073841     18.5719473884
 6     2    2012     1.02114932612      18.4884487465
 7     2    2012     1.03091524914      18.3375652358
 8     2    2012     1.02999969386      18.3068025783
 9     2    2012     1.01351969875      18.2679830343
 10    2    2012     0.975371561944     18.1969359443
 11    2    2012     0.917386393994     18.1478621811
 12    2    2012     0.86458937265      17.9105502516
 13    2    2012     0.828272346407     17.4183477312
 14    2    2012     0.820337533951     17.3546250835
 15    2    2012     0.795617541298     17.9325235784
 16    2    2012     0.769676808268     17.6871547624
 17    2    2012     0.769371623173     17.488662377
 18    2    2012     0.749534592032     17.5348063633
 19    2    2012     0.746177555993     17.5245521441
 20    2    2012     0.738547928631     17.3546250835
 21    2    2012     0.719016082585     17.0404065102
 22    2    2012     0.712607195601     16.8734092265
 23    2    2012     0.693685719743     16.7547532618
 24    2    2012     0.636616107076     16.5804315358
 25    2    2012     0.586260566488     16.4471266866
 26    2    2012     0.526444287971     16.2662129626
 27    2    2012     0.499893184751     16.1980956495
 28    2    2012     0.478530228138     16.2149418667
 29    2    2012     0.48005615361      16.3504440486
 1     3    2012     0.470900600776     16.3636280447
 2     3    2012     0.440382091329     16.2845240682
 3     3    2012     0.40162358433      16.2991729528
 4     3    2012     0.375377666205     16.1907712072
 5     3    2012     0.367442853749     16.1248512268
 6     3    2012     0.375988036394     16.009125039
 7     3    2012     0.371105074883     16.015717037
 8     3    2012     0.359813226387     16.1043427885
 9     3    2012     0.351878413931     16.1600085497
 10    3    2012     0.346079897135     16.2295907512
 11    3    2012     0.33753471449      16.2435071915
 12    3    2012     0.345469526947     16.2068849802
 13    3    2012     0.357371745631     16.2464369684
 14    3    2012     0.380870997906     16.2698751837
 15    3    2012     0.362559892237     16.2867214009
 16    3    2012     0.319833979011     16.2083498687
 17    3    2012     0.304879909381     16.1790520996
 18    3    2012     0.310068055987     16.519638665
 19    3    2012     0.29999694787      16.7847834751
 20    3    2012     0.283516952768     16.4844813421
 21    3    2012     0.287179173902     16.4141666964
 22    3    2012     0.298776207492     16.2640156299
 23    3    2012     0.31708731316      16.2090823129
 24    3    2012     0.338450269774     16.4134342521
 25    3    2012     0.348216192797     16.5877559781
 26    3    2012     0.370494704694     16.8477736786
 27    3    2012     0.396435437724     16.858760342
 28    3    2012     0.407116916031     16.6221808568
 29    3    2012     0.397045807913     16.2779320702
 30    3    2012     0.406201360747     16.2193365321
 31    3    2012     0.428479872644     16.3108920604
 1     4    2012     0.441602831706     16.3174840584
 2     4    2012     0.457472456619     16.3533738256
 3     4    2012     0.502639850602     16.4610431269
 4     4    2012     0.569780571386     16.8580278978
 5     4    2012     0.641499068588     17.6512649953
